number,value,datetime_start,datetime_complete,duration,params_conv_kernel_size,params_conv_out_channels,params_dropout,params_focal_gamma,params_gru_hidden_size,params_gru_num_layers,params_loss_type,params_lr,user_attrs_parameter_count,state
0,47.886030170820106,2026-08-22 23:45:32.668291,2026-08-22 23:46:52.491056,0 days 00:01:19.822765,5,32,0.41149764403172806,,128,1,weighted_ce,0.003388707881987423,125957,COMPLETE
1,32.218191881820836,2026-08-22 23:46:52.634354,2026-08-22 23:49:19.327265,0 days 00:02:26.692911,3,64,0.4314708175306758,2.4296792753348626,32,2,focal,0.0014166910299653421,38341,COMPLETE
